filename, n, cpu_time_used
647.node, 647, 0.00175
648.node, 648, 0.001893
649.node, 649, 0.001711
650.node, 650, 0.001698
651.node, 651, 0.001761
652.node, 652, 0.001722
653.node, 653, 0.001726
654.node, 654, 0.001715
655.node, 655, 0.001866
656.node, 656, 0.001734
657.node, 657, 0.001725
658.node, 658, 0.001758
659.node, 659, 0.001769
660.node, 660, 0.001843
661.node, 661, 0.001859
662.node, 662, 0.00202
663.node, 663, 0.001696
664.node, 664, 0.001851
665.node, 665, 0.00179
666.node, 666, 0.001719
667.node, 667, 0.001756
668.node, 668, 0.001769
669.node, 669, 0.001955
670.node, 670, 0.002086
671.node, 671, 0.001868
672.node, 672, 0.001863
673.node, 673, 0.001871
674.node, 674, 0.001819
675.node, 675, 0.001857
676.node, 676, 0.001863
677.node, 677, 0.002036
678.node, 678, 0.002058
679.node, 679, 0.001947
680.node, 680, 0.001913
681.node, 681, 0.001862
682.node, 682, 0.001906
683.node, 683, 0.002146
684.node, 684, 0.002094
685.node, 685, 0.00227
686.node, 686, 0.002128
687.node, 687, 0.001907
688.node, 688, 0.001937
689.node, 689, 0.002132
690.node, 690, 0.001897
691.node, 691, 0.002073
692.node, 692, 0.002083
693.node, 693, 0.002345
694.node, 694, 0.001997
695.node, 695, 0.002157
696.node, 696, 0.001987
697.node, 697, 0.001934
698.node, 698, 0.002017
699.node, 699, 0.001977
700.node, 700, 0.001989
701.node, 701, 0.002038
702.node, 702, 0.002179
703.node, 703, 0.002071
704.node, 704, 0.002043
705.node, 705, 0.001989
706.node, 706, 0.002108
707.node, 707, 0.002132
708.node, 708, 0.002367
709.node, 709, 0.002164
710.node, 710, 0.002021
711.node, 711, 0.002258
712.node, 712, 0.002052
713.node, 713, 0.002179
714.node, 714, 0.002418
715.node, 715, 0.002158
716.node, 716, 0.002102
717.node, 717, 0.002093
718.node, 718, 0.00208
719.node, 719, 0.002131
720.node, 720, 0.002198
721.node, 721, 0.002267
722.node, 722, 0.002295
723.node, 723, 0.002332
724.node, 724, 0.002145
725.node, 725, 0.00215
726.node, 726, 0.002345
727.node, 727, 0.002169
728.node, 728, 0.002229
729.node, 729, 0.002177
730.node, 730, 0.002172
731.node, 731, 0.002216
732.node, 732, 0.002212
733.node, 733, 0.002164
734.node, 734, 0.002184
735.node, 735, 0.002195
736.node, 736, 0.002342
737.node, 737, 0.00241
738.node, 738, 0.002291
739.node, 739, 0.002217
